code_departement,nom_departement,nom_commune,code_commune,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,type_local,surface_terrain,population_2021,population_2015,pourcentage_chomage_2021,pourcentage_chomage_2020,pourcentage_taux_cambriolages,evolution_2016_2021,loyer_moyen,prix_moyen(m²),rendement_locatifs
11,Aude,Campagne-sur-Aude,11063,220000,107,4,Maison,2281,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,2056.07,3.46
11,Aude,Moussoulens,11259,128000,91,4,Maison,489,377000,360000,10.4,10.4,5.9,-23.7,6.789026993,1406.59,5.79
11,Aude,Espéraza,11129,110000,108,5,Maison,808,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,1018.52,6.99
11,Aude,Leucate,11202,290000,93,4,Maison,401,377000,360000,10.4,10.4,5.9,-23.7,9.69815781,3118.28,3.73
11,Aude,Nébias,11263,123000,130,4,Maison,175,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,946.15,7.53
11,Aude,Alzonne,11009,152000,99,4,Maison,547,377000,360000,10.4,10.4,5.9,-23.7,7.024090334,1535.35,5.49
11,Aude,Puilaurens,11302,55000,70,4,Maison,100,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,785.71,9.06
11,Aude,Puginier,11300,150000,85,5,Maison,2981,377000,360000,10.4,10.4,5.9,-23.7,7.571762949,1764.71,5.15
11,Aude,Fontjoncouse,11152,273500,204,6,Maison,145,377000,360000,10.4,10.4,5.9,-23.7,7.909323405,1340.69,7.08
11,Aude,Cuxac-Cabardès,11115,143300,221,7,Maison,452,377000,360000,10.4,10.4,5.9,-23.7,6.860072163,648.42,12.7
11,Aude,Couiza,11103,90000,86,4,Maison,214,377000,360000,10.4,10.4,5.9,-23.7,6.789607528,1046.51,7.79
11,Aude,Villautou,11419,100000,62,2,Maison,2917,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,1612.9,5.71
11,Aude,Villautou,11419,100000,62,2,Maison,2244,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,1612.9,5.71
11,Aude,Villautou,11419,100000,45,2,Maison,2244,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,2222.22,4.14
11,Aude,Villautou,11419,100000,148,4,Maison,2244,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,675.68,13.62
11,Aude,Villautou,11419,100000,45,1,Maison,2244,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,2222.22,4.14
